
Iteration 0
2,2,0
2,2,1
3,3,0
3,3,1
3,3,2
3,6,0
3,6,1
3,6,2
3,6,3
3,6,4
3,6,5
4,4,0
4,4,1
4,4,2
4,4,3
4,8,0
4,8,1
4,8,2
4,8,3
4,8,4
4,8,5
4,8,6
4,8,7
4,12,0
4,12,1
4,12,2
4,12,3
4,12,4
4,12,5
4,12,6
4,12,7
4,12,8
4,12,9
4,12,10
4,12,11

Iteration 1
2,2,0
2,2,1
3,3,0
3,3,1
3,3,2
3,6,0
3,6,1
3,6,2
3,6,3
3,6,4
3,6,5
4,4,0
4,4,1
4,4,2
4,4,3
4,8,0
4,8,1
4,8,2
4,8,3
4,8,4
4,8,5
4,8,6
4,8,7
4,12,0
4,12,1
4,12,2
4,12,3
4,12,4
4,12,5
4,12,6
4,12,7
4,12,8
4,12,9
4,12,10
4,12,11
5,5,0
5,5,1
5,5,2
5,5,3
5,5,4
5,10,0
5,10,1
5,10,2
5,10,3
5,10,4
5,10,5
5,10,6
5,10,7
5,10,8
5,10,9
5,15,0
5,15,1
5,15,2
5,15,3
5,15,4
5,15,5
5,15,6
5,15,7
5,15,8
5,15,9
5,15,10
5,15,11
5,15,12
5,15,13
5,15,14
5,20,0
5,20,1
5,20,2
5,20,3
5,20,4
5,20,5
5,20,6
5,20,7
5,20,8
5,20,9
5,20,10
5,20,11
5,20,12
5,20,13
5,20,14
5,20,15
5,20,16
5,20,17
5,20,18
5,20,19
6,6,0
6,6,1
6,6,2
6,6,3
6,6,4
6,6,5
6,12,0
6,12,1
6,12,2
6,12,3
6,12,4
6,12,5
6,12,6
6,12,7
6,12,8
6,12,9
6,12,10
6,12,11
6,18,0
6,18,1
6,18,2
6,18,3
6,18,4
6,18,5
6,18,6
6,18,7
6,18,8
6,18,9
6,18,10
6,18,11
6,18,12
6,18,13
6,18,14
6,18,15
6,18,16
6,18,17
6,24,0
6,24,1
6,24,2
6,24,3
6,24,4
6,24,5
6,24,6
6,24,7
6,24,8
6,24,9
6,24,10
6,24,11
6,24,12
6,24,13
6,24,14
6,24,15
6,24,16
6,24,17
6,24,18
6,24,19
6,24,20
6,24,21
6,24,22
