5,5
25,25
125,125
5,25
25,625
125,15625
5,125
25,15625
125,1953125
5,10
25,300
125,7750
5,162
25,879060
125,2990726550
5,35
25,42550
125,29709625
5,5
25,25
125,125
5,25
25,625
125,15625
5,125
25,15625
125,1953125
5,10
25,300
125,7750
5,162
25,879060
125,2990726550
5,35
25,42550
125,29709625
5,5
25,25
125,125
5,25
25,625
125,15625
5,125
25,15625
125,1953125
5,10
25,300
125,7750
5,162
25,879060
125,2990726550
5,35
25,42550
125,29709625
5,5
25,25
125,125
5,25
25,625
125,15625
5,125
25,15625
125,1953125
5,10
25,300
125,7750
5,162
25,879060
125,2990726550
5,35
25,42550
125,29709625
5,5
25,25
125,125
5,25
25,625
125,15625
5,125
25,15625
125,1953125
5,10
25,300
125,7750
5,162
5,5
25,25
125,125
5,25
25,625
125,15625
5,125
25,15625
125,1953125
5,10
25,300
125,7750
5,162
25,879060
125,2990726550
5,35
25,42550
125,29709625
5,5
25,25
125,125
5,25
25,625
125,15625
5,125
25,15625
125,1953125
5,10
25,300
125,7750
5,162
25,879060
125,2990726550
5,35
25,42550
125,29709625
5,5
25,25
125,125
5,25
25,625
125,15625
5,125
25,15625
125,1953125
5,10
25,300
125,7750
5,162
25,879060
125,2990726550
5,35
25,42550
125,29709625
5,5
25,25
125,125
5,25
25,625
125,15625
5,125
25,15625
125,1953125
5,10
25,300
125,7750
5,162
25,879060
125,2990726550
5,35
25,42550
125,29709625
